"Go Back","Powrót"
"Book Data","Dane książki"
"Title","Tytuł"
"Author","Autor"
"Books List","Lista książek"
"Book Rental","Wypożyczanie książek"
"Max Rentals","Maksymalna ilość wypożyczeń"
"General Configuration","Ogólna konfiguracja"
"Define max number of books that customer can rent","Zdefiniuj maksymalną liczbę książek, jaką użytkownik może wypożyczyć"
"Book Rental Config","Konfiguracja wypożyczeń"
"Add New Book","Dodaj książkę"
"Books available to rent","Książki dostępne do wypożyczenia"
"Rented","Wpożyczona"
"Available to rent","Dostępna do wypożyczenia"
"Rent","Wypożycz"
"We are sorry, but this book is not available to be rented at the moment","Przykro nam, ale tej książki nie można w chwili obecnej wypożyczyć"
"Go back to choose another book","Wróć aby wybrać inną książkę"